countyfp,epsg
01001,26930
01003,26930
01005,26929
01007,26930
01009,26930
01011,26929
01013,26930
01015,26929
01017,26929
01019,26929
01021,26930
01023,26930
01025,26930
01027,26929
01029,26929
01031,26929
01033,26930
01035,26930
01037,26929
01039,26929
01041,26929
01043,26930
01045,26929
01047,26930
01049,26929
01051,26929
01053,26930
01055,26929
01057,26930
01059,26930
01061,26929
01063,26930
01065,26930
01067,26929
01069,26929
01071,26929
01073,26930
01075,26930
01077,26930
01079,26930
01081,26929
01083,26930
01085,26930
01087,26929
01089,26929
01091,26930
01093,26930
01095,26929
01097,26930
01099,26930
01101,26929
01103,26930
01105,26930
01107,26930
01109,26929
01111,26929
01113,26929
01115,26929
01117,26930
01119,26930
01121,26929
01123,26929
01125,26930
01127,26930
01129,26930
01131,26930
01133,26930
02013,26937
02016,26940
02020,26934
02050,26936
02060,26936
02068,26934
02070,26936
02090,26933
02100,26931
02105,26931
02110,26931
02122,26934
02130,26931
02150,26935
02158,26937
02164,26936
02170,26934
02180,26938
02185,26935
02188,26936
02195,26931
02198,26931
02220,26931
02230,26931
02240,26932
02261,26933
02270,26937
02275,26931
02282,26931
02290,26934
04001,26948
04003,26948
04005,26949
04007,26948
04009,26948
04011,26948
04012,26950
04013,26949
04015,26950
04017,26948
04019,26949
04021,26949
04023,26949
04025,26949
04027,26950
05001,26952
05003,26952
05005,26951
05007,26951
05009,26951
05011,26952
05013,26952
05015,26951
05017,26952
05019,26952
05021,26951
05023,26951
05025,26952
05027,26952
05029,26951
05031,26951
05033,26951
05035,26951
05037,26951
05039,26952
05041,26952
05043,26952
05045,26951
05047,26951
05049,26951
05051,26952
05053,26952
05055,26951
05057,26952
05059,26952
05061,26952
05063,26951
05065,26951
05067,26951
05069,26952
05071,26951
05073,26952
05075,26951
05077,26952
05079,26952
05081,26952
05083,26951
05085,26952
05087,26951
05089,26951
05091,26952
05093,26951
05095,26952
05097,26952
05099,26952
05101,26951
05103,26952
05105,26951
05107,26952
05109,26952
05111,26951
05113,26952
05115,26951
05117,26952
05119,26952
05121,26951
05123,26951
05125,26952
05127,26951
05129,26951
05131,26951
05133,26952
05135,26951
05137,26951
05139,26952
05141,26951
05143,26951
05145,26951
05147,26951
05149,26951
06001,26943
06003,26942
06005,26942
06007,26942
06009,26943
06011,26942
06013,26943
06015,26941
06017,26942
06019,26944
06021,26942
06023,26941
06025,26946
06027,26944
06029,26945
06031,26944
06033,26942
06035,26941
06037,26945
06039,26943
06041,26943
06043,26943
06045,26942
06047,26943
06049,26941
06051,26943
06053,26944
06055,26942
06057,26942
06059,26946
06061,26942
06063,26941
06065,26946
06067,26942
06069,26944
06071,26945
06073,26946
06075,26943
06077,26943
06079,26945
06081,26943
06083,26945
06085,26943
06087,26943
06089,26941
06091,26942
06093,26941
06095,26942
06097,26942
06099,26943
06101,26942
06103,26941
06105,26941
06107,26944
06109,26943
06111,26945
06113,26942
06115,26942
08001,26953
08003,26955
08005,26954
08007,26955
08009,26955
08011,26955
08013,26953
08014,26953
08015,26954
08017,26954
08019,26954
08021,26955
08023,26955
08025,26955
08027,26955
08029,26954
08031,26954
08033,26955
08035,26954
08037,26954
08039,26954
08041,26954
08043,26954
08045,26954
08047,26953
08049,26953
08051,26954
08053,26955
08055,26955
08057,26953
08059,26954
08061,26955
08063,26954
08065,26954
08067,26955
08069,26953
08071,26955
08073,26954
08075,26953
08077,26954
08079,26955
08081,26953
08083,26955
08085,26955
08087,26953
08089,26955
08091,26955
08093,26954
08095,26953
08097,26954
08099,26955
08101,26955
08103,26953
08105,26955
08107,26953
08109,26955
08111,26955
08113,26955
08115,26953
08117,26954
08119,26954
08121,26953
08123,26953
08125,26953
09001,26956
09003,26956
09005,26956
09007,26956
09009,26956
09011,26956
09013,26956
09015,26956
10001,26957
10003,26957
10005,26957
11001,26985
12001,26960
12003,26960
12005,26960
12007,26960
12009,26958
12011,26958
12013,26960
12015,26959
12017,26959
12019,26958
12021,26958
12023,26960
12027,26959
12029,26960
12031,26958
12033,26960
12035,26958
12037,26960
12039,26960
12041,26960
12043,26958
12045,26960
12047,26960
12049,26959
12051,26958
12053,26959
12055,26958
12057,26959
12059,26960
12061,26958
12063,26960
12065,26960
12067,26960
12069,26958
12071,26959
12073,26960
12075,26959
12077,26960
12079,26960
12081,26959
12083,26959
12085,26958
12086,26958
12087,26958
12089,26958
12091,26960
12093,26958
12095,26958
12097,26958
12099,26958
12101,26959
12103,26959
12105,26959
12107,26958
12109,26958
12111,26958
12113,26960
12115,26959
12117,26958
12119,26959
12121,26960
12123,26960
12125,26960
12127,26958
12129,26960
12131,26960
12133,26960
13001,26966
13003,26966
13005,26966
13007,26967
13009,26966
13011,26967
13013,26967
13015,26967
13017,26967
13019,26967
13021,26967
13023,26967
13025,26966
13027,26967
13029,26966
13031,26966
13033,26966
13035,26967
13037,26967
13039,26966
13043,26966
13045,26967
13047,26967
13049,26966
13051,26966
13053,26967
13055,26967
13057,26967
13059,26967
13061,26967
13063,26967
13065,26966
13067,26967
13069,26966
13071,26967
13073,26966
13075,26967
13077,26967
13079,26967
13081,26967
13083,26967
13085,26967
13087,26967
13089,26967
13091,26966
13093,26967
13095,26967
13097,26967
13099,26967
13101,26966
13103,26966
13105,26966
13107,26966
13109,26966
13111,26967
13113,26967
13115,26967
13117,26967
13119,26966
13121,26967
13123,26967
13125,26966
13127,26966
13129,26967
13131,26967
13133,26966
13135,26967
13137,26967
13139,26967
13141,26966
13143,26967
13145,26967
13147,26966
13149,26967
13151,26967
13153,26967
13155,26967
13157,26967
13159,26967
13161,26966
13163,26966
13165,26966
13167,26966
13169,26967
13171,26967
13173,26966
13175,26966
13177,26967
13179,26966
13181,26966
13183,26966
13185,26967
13187,26967
13189,26966
13191,26966
13193,26967
13195,26966
13197,26967
13199,26967
13201,26967
13205,26967
13207,26967
13209,26966
13211,26967
13213,26967
13215,26967
13217,26967
13219,26967
13221,26966
13223,26967
13225,26967
13227,26967
13229,26966
13231,26967
13233,26967
13235,26967
13237,26967
13239,26967
13241,26967
13243,26967
13245,26966
13247,26967
13249,26967
13251,26966
13253,26967
13255,26967
13257,26966
13259,26967
13261,26967
13263,26967
13265,26966
13267,26966
13269,26967
13271,26966
13273,26967
13275,26967
13277,26967
13279,26966
13281,26967
13283,26966
13285,26967
13287,26967
13289,26967
13291,26967
13293,26967
13295,26967
13297,26967
13299,26966
13301,26966
13303,26966
13305,26966
13307,26967
13309,26966
13311,26967
13313,26967
13315,26967
13317,26966
13319,26966
13321,26967
15001,26961
15003,26963
15005,26962
15007,26964
15009,26962
16001,26970
16003,26970
16005,26968
16007,26968
16009,26970
16011,26968
16013,26969
16015,26970
16017,26970
16019,26968
16021,26970
16023,26969
16025,26969
16027,26970
16029,26968
16031,26969
16033,26968
16035,26970
16037,26969
16039,26970
16041,26968
16043,26968
